Year;Company;Weight;Revenue;Cost of Goods Sold;Gross Profit;Other Incomes;Genereal Expenses;Depreciation;EBIT;Net Interest Expense;Adjusted EBIT;Other;Taxes;Net Income;Non-Current Assets;Inventories;Receivables;Cash;Current Assets;Total Assets;Payables;Tax Paybles;Current Liabilities;Long-Term Debt;Short-Term Debt;Total Debt;Total Liabilities;Total Equity;Total Liabilities & Shareholders' Equity;Gross margin ratio;Operating margin ratio;Net Profit margin;Return on assets ratio;Capital Employed
2014;Εκδόσεις Διόπτρα;6%; 2.909.715,0 ;-768.899,4 ; 2.140.815,6   ; 17.452,5 ;-1.910.685,8 ;; 247.582,3 ;-77.039,3 ; 170.543,1 ;-65.447,3 ;; 97.178,0 ; 1.829.903,5 ; 352.433,6 ; 1.841.923,5 ; 164.090,0 ; 2.358.447,1 ; 4.198.335,8 ; 1.184.170,6 ;119396,94; 1.742.715,3 ; 1.507.871 ;439147,8; 1.947.018,9 ;3250586,43;711347,75; 4.198.335,8 ;73,6%;5,9%;3,3%;2,3%; 2.455.620,5 
2015;Εκδόσεις Διόπτρα;8%; 3.231.068,7 ;-791.821,2 ; 2.439.247,4   ; 34.277,7 ;-2014701,64;;458823,52;-78595,96;380227,56;;-120327,13;259900,43;1809983,51;355475,44;1950556,85;138010,86;2444043,15;4254026,66; 1.557.995,9 ;120327,13;1805642,79; 1.502.758 ;127319,77; 1.630.077,8 ; 3.308.401 ;945625,87; 4.254.026,7 ;75,5%;11,8%;8,0%;6,1%; 2.448.383,9 
2016;Εκδόσεις Διόπτρα;10%; 4.051.464,1 ;-1.034.917,8 ; 3.016.546,3   ;1721,46;-2303910,34;;714357,39;-80057,22;634300,17;;-189758,74;444541,43;1739195,58;415019,47;2876607,81;12857,98;3304485,26;5043680,84; 1.926.240,5 ;189758,74;2189249,18;1464264,36;73249,94; 1.537.514,3 ;3653513,54;1390167,3; 5.043.680,8 ;74,5%;15,7%;11,0%;8,8%; 2.854.431,7 
2017;Εκδόσεις Διόπτρα;9%; 3.898.063,7 ;-888.377,1 ; 3.009.686,6 ; 13.506,8 ;-2.618.209,6 ; -   ; 404.983,7 ;-85.970,5 ; 319.013,2 ; -   ;-99.146,6 ; 219.866,6 ; 1.678.474,9 ; 521.302,9 ; 2.843.311,9 ; 30.669,7 ; 3.395.284,5 ; 5.073.759,4 ; 1.700.110,5 ; 145.398,1 ; 2.132.037,4 ; 1.331.688,1 ; 286.528,7 ; 1.618.216,8 ; 3.463.725,5 ; 1.610.033,9 ; 5.073.759,4 ;77,2%;8,2%;5,6%;4,3%; 2.941.722,1 
2018;Εκδόσεις Διόπτρα;13%; 4.739.989,3 ;-1.103.136,5 ; 3.636.852,8 ; 18.016,7 ;-3.093.978,1 ; -   ; 561.891,3 ;-92.512,8 ; 469.378,5 ; -   ;-143.701,5 ; 325.677,0 ; 1.686.174,8 ; 903.150,1 ; 2.991.285,7 ; 287.227,3 ; 4.181.663,1 ; 5.867.838,0 ; 2.159.214,4 ; 206.827,0 ; 2.573.770,8 ; 1.458.626,3 ; 207.729,4 ; 1.666.355,7 ; 4.032.397,0 ; 1.835.440,9 ; 5.867.838,0 ;76,7%;9,9%;6,9%;5,6%; 3.294.067,2 
2019;Εκδόσεις Διόπτρα;13%; 5.374.077,5 ;-1.352.559,8 ; 4.021.517,8 ; 31.264,1 ;-3.650.033,9 ; -   ; 402.747,8 ;-98.964,6 ; 303.783,2 ; -   ;-109.782,9 ; 194.000,3 ; 1.845.392,1 ; 1.228.432,3 ; 3.003.260,0 ; 401.996,5 ; 4.633.688,7 ; 6.479.080,8 ; 2.145.336,8 ; 115.533,4 ; 2.881.343,3 ; 1.491.906,7 ; 620.473,0 ; 2.112.379,7 ; 4.373.250,0 ; 2.029.441,3 ; 6.479.080,8 ;74,8%;5,7%;3,6%;3,0%; 3.597.737,5 
2020;Εκδόσεις Διόπτρα;15%; 6.623.987,6 ;-1.470.875,0 ; 5.153.112,6 ; 67.474,0 ;-3.559.573,3 ; -   ; 1.661.013,2 ;-82.464,8 ; 1.578.548,4 ; -   ;-323.859,3 ; 1.254.689,2 ; 1.781.654,7 ; 1.358.658,2 ; 3.892.977,3 ; 1.123.693,4 ; 6.375.328,9 ; 8.156.983,6 ; 3.169.694,1 ; 326.951,3 ; 3.738.509,6 ; 2.069.025,7 ; 241.864,2 ; 2.310.889,9 ; 5.807.535,4 ; 2.262.460,4 ; 8.156.983,6 ;77,8%;23,8%;18,9%;15,4%; 4.418.474,0 
2011;Εκδόσεις Καστανιώτη;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Εκδόσεις Καστανιώτη;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Εκδόσεις Καστανιώτη;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Εκδόσεις Καστανιώτη;6%;2667728,78;-1211249,11;1456479,67;103935,44;-1547634,69;;-312065,38;-438633,18;-750697,53;;;-750697,53;1608018,88;4634694,76;5335836,19;32963,56;10003494,51;11609511,17;1624121,98;544239,16;2308929,87;7321291,64;140568,73;7461860,37;9630221,31; 1.979.290 ;11609511,17;54,6%;-28,1%;-28,1%;-6,5%; 9.300.581,3 
2015;Εκδόσεις Καστανιώτη;4%;1796182,54;-918437,5;877745,04;41041,38;-1359994,06;;-718963,59;-323083,9;-1042026,46;;;-1.042.026 ;2192322,57;4522450,55;4161513,71;10872,56;8694836,82;10836159,39;1909411,28;474630,86;2541122,95;7407773,04;157080,81;7564853,85;9948895,99;887263,4;10836159,39;48,9%;-58,0%;-58,0%;-9,6%; 8.295.036,4 
2016;Εκδόσεις Καστανιώτη;5%;2111483,24;-1072774,66;1038708,58;54582,94;-1098328,9;;-30002,17;-275841,34;-305842,36;;;-305842,36;2077827,8;4267325,97;4012648,22;9671,29;8289645,48;10367473,28;1652679,18;524800,51;2211429,22;7524623,02;33949,53;7558572,55; 9.736.052 ; 631.421 ;10367473,28;49,2%;-14,5%;-14,5%;-3,0%; 8.156.044,1 
2017;Εκδόσεις Καστανιώτη;5%; 1.962.675,7 ;-998.749,4 ;963926,36; 69.727,2 ;-1054737,54;;8618,79;-255134,26;-317881;;;-317881;2039860,48;4017753,86;4104479,39;37589,58;8159822,83;10199683,31;1454120,74;721897,94;2381881,22;7504262,05;205862,54;7710124,59;9886143,27;313540,04;10199683,31;49,1%;-16,2%;-16,2%;-3,1%; 7.817.802,1 
